Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K,01,02,03,04,05,06,07,08,09,10,mean_r,mean_K
CA501,C,0,5,cCA501,A,0.12260365662646588,4.1,NA,0,0.024692612590371414,-0.09309042306601209,-0.047628048989254705,-0.02409755157906064,-0.047628048989254705,0,-0.02409755157906064,-0.07061756721395353,0.07598590697792205,-0.020648067184830286
CA501,A,0,5,aCA501,C,0.1793855656611654,3.5,NA,0.028987536873252406,0.08961215868968714,-0.41494385206270806,0.08961215868968714,-0.4700036292457356,-0.45198512374305727,0.22314355131420976,-0.25131442828090605,-0.13353139262452263,0.664976303593249,-0.06254467167968442
CA502,C,0,5,cCA502,A,0.2011797390542627,3.1,NA,-0.2795848622191614,-0.25489224962879004,-0.3726752852851735,-0.3272129112084161,-0.30368241379822203,-0.3272129112084161,-0.2795848622191614,-0.30368241379822203,-0.350202429433115,-0.20359895524123942,-0.3002329294039917
CA502,A,0,5,aCA502,C,0.21682513192351333,7.5,NA,0.7911275889201491,0.8517522107365839,0.3471961999841887,0.8517522107365839,0.2921364228011613,0.31015492830383945,0.9852836033611067,0.5108256237659907,0.6286086594223741,1.4271163556401458,0.6995953803672124
CA503,C,0,5,cCA503,A,0.1732867951399864,3.7,NA,-0.10265415406008321,-0.0779615414697118,-0.19574457712609522,-0.15028220304933787,-0.1267517056391439,-0.15028220304933787,-0.10265415406008321,-0.1267517056391439,-0.1732717212740368,-0.02666824708216118,-0.1233022212449135
CA503,A,0,5,aCA503,C,0.18800967459703433,6.4,NA,0.6325225587435106,0.6931471805599453,0.18859116980755017,0.6931471805599453,0.13353139262452277,0.15154989812720107,0.826678573184468,0.35222059358935215,0.47000362924573563,1.2685113254635072,0.5409903501905738
CA504,C,0,5,cCA504,A,0.13732653608351378,3.5,NA,-0.15822400521489402,-0.13353139262452263,-0.25131442828090605,-0.20585205420414873,-0.1823215567939547,-0.20585205420414873,-0.15822400521489402,-0.1823215567939547,-0.22884157242884753,-0.082238098236972,-0.1788720723997243
CA504,A,0,5,aCA504,C,0.20924705419645898,7.3,NA,0.7640989165322297,0.8247235383486646,0.3201675275962692,0.8247235383486646,0.2651077504132419,0.2831262559159201,0.9582549309731873,0.4837969513780714,0.6015799870344548,1.4000876832522264,0.672566707979293
CA505,C,0,5,cCA505,A,0.13732653608351378,2.2,NA,-0.6225296133459917,-0.5978370007556204,-0.7156200364120038,-0.6701576623352465,-0.6466271649250525,-0.6701576623352465,-0.6225296133459917,-0.6466271649250525,-0.6931471805599453,-0.5465437063680699,-0.643177680530822
CA505,A,0,5,aCA505,C,0.2204485740326699,7.6,NA,0.8043728156701697,0.8649974374866043,0.3604414267342092,0.8649974374866043,0.3053816495511819,0.32340015505386016,0.9985288301111273,0.5240708505160113,0.6418538861723947,1.4403615823901663,0.712840607117233
CA506,C,0,5,cCA506,A,0.13732653608351378,3.8,NA,-0.07598590697792199,-0.05129329438755058,-0.169076330043934,-0.12361395596717664,-0.10008345855698265,-0.12361395596717664,-0.07598590697792199,-0.10008345855698265,-0.1466034741918755,0,-0.09663397416275227
CA506,A,0,5,aCA506,C,0.19607698973923066,5.5,NA,0.48097266061630956,0.5415972824327444,0.037041271680349076,0.5415972824327444,-0.01801850550267825,0,0.675128675057267,0.20067069546215124,0.3184537311185346,1.1169614273363062,0.38944045206337286
CA507,C,0,5,cCA507,A,0.12260365662646587,4.3,NA,0.047628048989254664,0.07232066157962608,-0.0454623740767574,0,0.023530497410194036,0,0.047628048989254664,0.023530497410194036,-0.022989518224698833,0.12361395596717663,0.02697998180442439
CA507,A,0,5,aCA507,C,0.1473318745427058,4.3,NA,0.234839591077401,0.29546421289383573,-0.20909179785855936,0.29546421289383573,-0.26415157504158676,-0.2461330695389086,0.4289956055183586,-0.0454623740767574,0.07232066157962608,0.8708283577973978,0.1433073825244643
CA508,C,0,5,cCA508,A,0.18800967459703433,4.5,NA,0.09309042306601203,0.11778303565638346,0,0.04546237407675741,0.06899287148695142,0.04546237407675741,0.09309042306601203,0.06899287148695142,0.022472855852058576,0.1690763300439341,0.07244235588118178
CA508,A,0,5,aCA508,C,0.16687513334154253,3.8,NA,0.1112256351102244,0.17185025692665903,-0.33270575382573614,0.17185025692665903,-0.38776553100876343,-0.3697470255060851,0.3053816495511819,-0.169076330043934,-0.05129329438755058,0.7472144018302211,0.019693426557287626
CA509,C,0,5,cCA509,A,0.13732653608351383,5,NA,0.19845093872383843,0.22314355131420976,0.10536051565782635,0.1508228897345837,0.17435338714477774,0.1508228897345837,0.19845093872383843,0.17435338714477774,0.1278333715098848,0.27443684570176036,0.1778028715390081
CA509,A,0,5,aCA509,C,0.1808648728670407,3.1,NA,-0.09237332013101504,-0.0317486983145803,-0.5363047090669756,-0.0317486983145803,-0.5913644862500029,-0.5733459807473247,0.10178269430994238,-0.3726752852851735,-0.25489224962879004,0.5436154465889816,-0.18390552868395182
CA510,C,0,5,cCA510,A,0.13732653608351383,4.3,NA,0.047628048989254664,0.07232066157962608,-0.0454623740767574,0,0.023530497410194036,0,0.047628048989254664,0.023530497410194036,-0.022989518224698833,0.12361395596717663,0.02697998180442439
CA510,A,0,5,aCA510,C,0.16241037301628267,5.2,NA,0.424883193965266,0.4855078157817008,-0.019048194970694363,0.4855078157817008,-0.07410797215372172,-0.056089466651043585,0.6190392084062236,0.1445812288111077,0.26236426446749106,1.0608719606852626,0.33335098541232927
